time,phase,grasp_lock_active,contact_force_n,inserted_depth_m,peg_x_m,peg_y_m,peg_z_m,peg_hole_xy_error_m,q1_rad,q2_rad,q3_rad,q4_rad,q5_m,q6_rad,q3_abs_rad,q4_abs_rad,q6_turns,q_tracking_error,q_tracking_error_without_q6,q34_tracking_error,q6_tracking_error_rad,q6_speed_rad_s,ctrl_joint1,ctrl_joint2,ctrl_joint3,ctrl_joint4,ctrl_joint5,ctrl_joint6
6.293999999999529,Archimedean spiral search using joint1/joint2 only,1,23.28712126084078,1.129921079769114e-05,-0.35199044474587243,-0.6429534876569385,0.1349887007892023,0.025046085315854755,-0.03713384997838844,0.15181465431968957,0.0036619552489411756,0.00038611421714933357,0.10887274071285061,-0.0003306985099011848,0.0036619552489411756,0.00038611421714933357,-5.263230252389766e-05,0.0037022410496826436,0.0036874418348638908,0.00368225480296145,0.0003306985099011848,-0.0008570042931969128,-1.6270626337377316,0.9462022561943481,-11.891161388478059,-0.1197189312541378,-31.41976393126123,0.024404707616396976
6.295999999999529,Archimedean spiral search using joint1/joint2 only,1,23.302067287647798,6.726564484929587e-06,-0.3520004714271471,-0.6429336253037399,0.13499327343551507,0.02502779795183413,-0.037080491900553035,0.1517758660473275,0.0036639992836340184,0.00038638692722022335,0.10886620446441614,-0.00033244430508793093,0.0036639992836340184,0.00038638692722022335,-5.291015445749434e-05,0.003708744080754152,0.00369381421305181,0.003684316165585859,0.00033244430508793093,-0.000872897593373056,-1.6552571594359962,0.9746378462369346,-11.82218113757181,-0.11865038506105699,-30.793422507463617,0.02566285925782392
6.297999999999528,Archimedean spiral search using joint1/joint2 only,1,23.30449586399466,1.5881802843537018e-06,-0.3520102865598095,-0.6429129400943775,0.13499841181971564,0.025009311043567798,-0.03702681271243508,0.1517367041015073,0.0036633410788799777,0.00038677826072347217,0.10886070229239186,-0.00033410937151778563,0.0036633410788799777,0.00038677826072347217,-5.3175158010382093e-05,0.003714067855917749,0.00369900945743931,0.003683702659441692,0.00033410937151778563,-0.0008325332149273656,-1.6749844451268967,0.9965549664161074,-11.6490135523539,-0.1181268319214828,-30.227001677478135,0.026282926753200677
6.299999999999528,Archimedean spiral search using joint1/joint2 only,1,23.323470019476375,0.0,-0.35202096623438767,-0.6428985086120865,0.13500084244578092,0.024993047682542124,-0.036972925571684655,0.15169730363738723,0.0036595233450860405,0.0003871590745933571,0.10885738346909933,-0.0003357448820280942,0.0036595233450860405,0.0003871590745933571,-5.3435457592576446e-05,0.003717847771898607,0.0037026568068352457,0.0036799460950222773,0.0003357448820280942,-0.0008177552551542817,-1.694055407725913,1.0123083971758755,-11.523465741204221,-0.12154260929314858,-29.724830581308122,0.024722622073070973
6.301999999999528,Archimedean spiral search using joint1/joint2 only,1,23.323394923029337,0.0,-0.3520310885790197,-0.6428807771587765,0.13500308437962405,0.024975706895288913,-0.03691902370016827,0.15165792217144042,0.0036533981670707825,0.0003876073039879408,0.10885647509432107,-0.0003374133657071265,0.0036533981670707825,0.0003876073039879408,-5.3701005017562584e-05,0.003720971474480972,0.0037056417709410727,0.0036739022291374266,0.0003374133657071265,-0.0008342418395161545,-1.7098397634561002,1.022658654843367,-11.381719009034141,-0.11943259656676714,-29.375462022260137,0.023947085773244406
6.303999999999528,Archimedean spiral search using joint1/joint2 only,1,23.30505758096082,0.0,-0.3520406122094245,-0.6428592004254109,0.13500493020824614,0.02495707007777439,-0.03686525147014085,0.15161874409340884,0.003646552666974681,0.00038818385677280977,0.10885750354840451,-0.0003391073580562144,0.003646552666974681,0.00038818385677280977,-5.397061227347978e-05,0.0037249843445608106,0.0037095167565243947,0.003667155990638955,0.0003391073580562144,-0.0008469961745439595,-1.7231848439855912,1.0265598086425003,-11.278634562580889,-0.12035383794676466,-29.16533506919465,0.023996810161329988
6.3059999999995275,Archimedean spiral search using joint1/joint2 only,1,23.299533471683297,0.0,-0.3520506877522792,-0.6428413182006718,0.13500414086793394,0.024939709799384337,-0.03681164533375316,0.1515797974051895,0.0036396961770910337,0.00038880232045138753,0.10886033918297008,-0.00034080940753759105,0.0036396961770910337,0.00038880232045138753,-5.424150186182787e-05,0.0037304671037929698,0.00371486658713545,0.003660403735371205,0.00034080940753759105,-0.0008510247406883247,-1.7376321643518877,1.0270152826504433,-11.246509167117038,-0.12375248761327065,-29.080244522469744,0.023767304441877003
6.307999999999527,Archimedean spiral search using joint1/joint2 only,1,23.309899402507416,0.0,-0.3520614566893952,-0.6428279918519666,0.13500023544049647,0.024923905669887905,-0.03675824844776207,0.15154112214924617,0.003632687730117697,0.00038937746525331975,0.1088652144011542,-0.00034256153692124956,0.003632687730117697,0.00038937746525331975,-5.452036191417368e-05,0.003737058391968636,0.003721324632225111,0.0036534962645382255,0.00034256153692124956,-0.0008760646918292577,-1.7538303679329985,1.0270480757441072,-11.249943225043449,-0.12360881322886084,-29.151577366845395,0.023268762757505525
6.309999999999527,Archimedean spiral search using joint1/joint2 only,1,23.293051914300978,3.166645201183038e-06,-0.35207116939979016,-0.6428073627808112,0.1349968333547988,0.02490557020689116,-0.03670518881489809,0.15150288277146698,0.003626685349673055,0.0003900860240535466,0.10887127505242246,-0.00034428509055259396,0.003626685349673055,0.0003900860240535466,-5.479467399428613e-05,0.003745653609868421,0.0037297974129359254,0.003647603834258193,0.00034428509055259396,-0.000861776815672204,-1.7688852434288038,1.0253428631914563,-11.252865473576398,-0.11988873490739445,-29.399798986209625,0.02350198025282313
6.311999999999527,Archimedean spiral search using joint1/joint2 only,1,23.2805950748314,7.283378528163964e-06,-0.3520810030720932,-0.6427875622249427,0.13499271662147183,0.02488752799159617,-0.036652502536921504,0.1514651027345569,0.0036226666016190632,0.0003908424428471047,0.10887765607000137,-0.00034601375824520674,0.0036226666016190632,0.0003908424428471047,-5.506980000252871e-05,0.003756957862485994,0.0037409900908182527,0.0036436892185828505,0.00034601375824520674,-0.0008643338463063813,-1.7835435343571537,1.0207316817496142,-11.30833062578412,-0.12355260635384485,-29.747582103636194,0.022249684176912057
